athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,height_inch
33,Stéphane Renault,1968-03-01,Barfleur,Manche,FRA,France,180.0,72.0,,70.74000000000001
34,Jean-Pierre Samazeuilh,1891-01-17,Bordeaux,Gironde,FRA,France,,,1965-04-13,nan
35,Fabrice Santoro,1972-12-09,Tahiti,Îles du Vent,FPN,France,177.0,68.0,,69.561
36,Étienne Thobois,1967-09-20,Amiens,Somme,FRA,France,186.0,78.0,,73.098
37,Pierre Verdé-Delisle,1877-05-16,Trie-la-Ville,Oise,FRA,France,,,1960-07-18,nan
38,Helen Aitchison,1881-12-06,Sunderland,England,GBR,Great Britain,,,1947-05-26,nan
39,Geraldine Beamish,1883-06-23,Forest Gate,England,GBR,Great Britain,,,1972-05-10,nan
40,Dora Boothby,1881-08-02,Finchley,England,GBR,Great Britain,,,1970-02-22,nan
41,Julie Bradbury,1967-02-12,Oxford,England,GBR,Great Britain,175.0,64.0,,68.775
42,Gillian Clark,1961-09-02,Baghdad,Baghdad,IRQ,Great Britain,176.0,68.0,,69.168
43,Mildred Coles,1876-04-09,Cranbrook,England,GBR,Great Britain,,,1937-02-24,nan
44,Evelyn Colyer,1902-08-16,Wandsworth,England,GBR,Great Britain,,,1930-11-04,nan
45,Charlotte Cooper,1870-09-22,Ealing,England,GBR,Great Britain,,,1966-10-10,nan
46,Phyllis Covell,1895-05-22,Paddington,England,GBR,Great Britain,,,1982-10-28,nan
47,Gladys Eastlake-Smith,1883-08-14,Lewisham,England,GBR,Great Britain,,,1941-09-18,nan
48,Sara Gomer,1964-05-13,Torquay,England,GBR,Great Britain,190.0,85.0,,74.67
49,Alison Gordon,1962-12-31,Reading,England,GBR,Great Britain,175.0,68.0,,68.775
50,Gillian Gowers,1964-04-09,,,,Great Britain,157.0,55.0,,61.701
51,Alice Greene,1879-10-15,Upton,England,GBR,Great Britain,,,1956-10-26,nan
52,Edith Hannam,1878-11-28,Bristol,England,GBR,Great Britain,,,1951-01-16,nan
53,Dorothy Holman,1883-07-18,Kilburn,England,GBR,Great Britain,,,1968-06-15,nan
54,Andrea Holt,1970-11-11,Radcliffe,England,GBR,Great Britain,168.0,64.0,,66.024
55,Monique Javer,1967-07-22,Burlingame,California,USA,Great Britain,177.0,64.0,,69.561
56,Valda Lake,1968-10-11,Torquay,England,GBR,Great Britain,173.0,61.0,,67.989
57,Dorothy Lambert Chambers,1878-09-03,Ealing,England,GBR,Great Britain,,,1960-01-07,nan
58,Lisa Lomas,1967-03-09,Dunstable,England,GBR,Great Britain,168.0,63.0,,66.024
59,Kitty McKane,1896-05-07,Bayswater,England,GBR,Great Britain,,,1992-06-19,nan
60,Winifred McNair,1877-08-09,Donnington,England,GBR,Great Britain,,,1954-03-28,nan
61,Kelly Morgan,1975-05-22,Pontypridd,Wales,GBR,Great Britain,178.0,65.0,,69.95400000000001
62,Agatha Morton,1872-03-06,Halstead,England,GBR,Great Britain,,,1952-04-05,nan
63,Jo Muggeridge,1969-04-03,London,England,GBR,Great Britain,157.0,59.0,,61.701
64,Mabel Parton,1881-07-22,London,England,GBR,Great Britain,,,1962-08-12,nan
65,Violet Pinckney,1871-03-11,Alderbury,England,GBR,Great Britain,,,1955-03-13,nan
66,Sara Sankey,1967-09-29,Southport,England,GBR,Great Britain,170.0,68.0,,66.81
67,Phyllis Satterthwaite,1886-01-26,Kensington,England,GBR,Great Britain,,,1962-01-20,nan
68,Dorothy Shepherd-Barron,1897-11-24,Beighton,England,GBR,Great Britain,,,1953-02-20,nan
69,Sam Smith,1971-11-27,Epping,England,GBR,Great Britain,175.0,62.0,,68.775
70,Helen Troke,1964-11-07,Southampton,England,GBR,Great Britain,172.0,63.0,,67.596
71,Ruth Winch,1870-08-25,Ryde,England,GBR,Great Britain,,,1952-01-09,nan
72,Clare Wood,1968-03-08,Zululand,KwaZulu-Natal,RSA,Great Britain,175.0,65.0,,68.775
73,Joanne Wright-Goode,1972-11-17,Harlow,England,GBR,Great Britain,171.0,68.0,,67.203
74,Sky Andrew,1962-03-31,Newham,England,GBR,Great Britain,185.0,78.0,,72.705
75,Simon Archer,1973-06-27,Leamington Spa,England,GBR,Great Britain,189.0,86.0,,74.277
76,Roper Barrett,1873-11-24,Upton,England,GBR,Great Britain,,,1943-07-27,nan
77,Jeremy Bates,1962-06-19,Solihull,England,GBR,Great Britain,180.0,72.0,,70.74000000000001
78,Alfred Beamish,1879-08-06,Richmond,England,GBR,Great Britain,,,1944-02-28,nan
79,John Pius Boland,1870-09-16,Dublin,Dublin,IRL,Great Britain,,,1958-03-17,nan
80,Neil Broad,1966-11-20,Cape Town,Western Cape,RSA,Great Britain,191.0,87.0,,75.063
81,George Caridia,1869-02-20,Kolkata (Calcutta),West Bengal,IND,Great Britain,,,1937-04-21,nan
82,Andrew Castle,1963-11-15,Epsom,England,GBR,Great Britain,190.0,74.0,,74.67
83,Clement Cazalet,1869-07-16,,,,Great Britain,,,1950-03-23,nan
84,Xinhua Chen,1960-01-30,Fuan,Fujian,CHN,Great Britain,175.0,71.0,,68.775
85,Alan Cooke,1966-03-23,Clay Cross,England,GBR,Great Britain,170.0,64.0,,66.81
86,Walter Crawley,1880-03-29,Masham,England,GBR,Great Britain,,,1940-10-11,nan
87,Charles Dixon,1873-02-07,Grantham,England,GBR,Great Britain,,,1939-04-29,nan
88,Laurie Doherty,1875-10-08,Wimbledon,England,GBR,Great Britain,178.0,,1919-08-21,69.95400000000001
89,Reggie Doherty,1872-10-14,Wimbledon,England,GBR,Great Britain,,,1910-12-29,nan
90,Desmond Douglas,1955-07-20,Kingston,Kingston,JAM,Great Britain,175.0,66.0,,68.775
91,Wilberforce Eaves,1867-12-10,Melbourne,Victoria,AUS,Great Britain,,,1920-02-10,nan
92,Lionel Escombe,1876-01-01,Natal,KwaZulu-Natal,RSA,Great Britain,,,1914-10-15,nan
93,Anne Gibson,1968-10-26,Dumfries,Scotland,GBR,Great Britain,173.0,70.0,,67.989
94,Brian Gilbert,1887-07-17,Barnes,England,GBR,Great Britain,,,1974-07-28,nan
95,Leslie Godfree,1885-04-27,Brighton,England,GBR,Great Britain,,,1971-11-17,nan
96,Andy Goode,1960-01-30,Welwyn Garden City,England,GBR,Great Britain,183.0,83.0,,71.919
97,Arthur Wentworth Gore,1868-01-02,Lyndhurst,England,GBR,Great Britain,,,1928-12-01,nan
98,Darren Hall,1965-10-25,Walthamstow,England,GBR,Great Britain,183.0,73.0,,71.919
99,Tim Henman,1974-09-06,Oxford,England,GBR,Great Britain,185.0,77.0,,72.705
100,George Hillyard,1864-02-06,Hanwell,England,GBR,Great Britain,,,1943-03-24,nan
101,Chris Hunt,1968-12-01,Bolton,England,GBR,Great Britain,182.0,88.0,,71.526
102,Algernon Kingscote,1888-02-03,Bengaluru (Bangalore),Karnataka,IND,Great Britain,,,1964-12-21,nan
103,Peter Knowles,1969-12-28,Stockport,England,GBR,Great Britain,177.0,77.0,,69.561
104,Arthur Lowe,1886-01-29,,,,Great Britain,,,1958-10-22,nan
105,Gordon Lowe,1884-06-21,,,,Great Britain,,,1972-05-17,nan
106,Harold Mahony,1867-02-13,Edinburgh,Scotland,GBR,Great Britain,191.0,,1905-06-27,75.063
107,Theodore Mavrogordato,1883-07-31,City of London,England,GBR,Great Britain,,,1941-08-24,nan
108,Anders Nielsen,1967-02-24,Cape Town,Western Cape,RSA,Great Britain,173.0,70.0,2010-07-29,67.989
109,Arthur Norris,,,,,Great Britain,,,,nan
110,James Parke,1881-07-26,Clones,Monaghan,IRL,Great Britain,,,1946-02-27,nan
111,Nick Ponting,1966-09-13,London,England,GBR,Great Britain,173.0,76.0,,67.989
112,Carl Prean,1967-08-20,Newport,England,GBR,Great Britain,185.0,79.0,,72.705
113,Josiah Ritchie,1870-10-18,Westminster,England,GBR,Great Britain,,,1955-02-28,nan
114,Julian Robertson,1969-10-09,Peterborough,England,GBR,Great Britain,182.0,73.0,,71.526
115,Greg Rusedski,1973-09-06,Montréal,Québec,CAN,Great Britain,190.0,88.0,,74.67
116,George Simond,1867-01-23,Marylebone,England,GBR,Great Britain,,,1941-04-08,nan
117,Matthew Syed,1970-11-02,Bromley,England,GBR,Great Britain,175.0,70.0,,68.775
118,Noel Turnbull,1890-12-20,Highgate,England,GBR,Great Britain,,,1970-12-17,nan
119,Archibald Warden,1869-05-11,Edinburgh,Scotland,GBR,France,,,1943-10-07,nan
120,Patrick Wheatley,1899-01-20,Vryheid,KwaZulu-Natal,RSA,Great Britain,,,1967-11-05,nan
121,Chris Wilkinson,1970-01-05,Southampton,England,GBR,Great Britain,180.0,72.0,,70.74000000000001
122,Max Woosnam,1892-09-06,Liverpool,England,GBR,Great Britain,,,1965-07-14,nan
123,Dave Wright,1965-04-10,Killamarsh,England,GBR,Great Britain,175.0,77.0,,68.775
124,Steffi Graf,1969-06-14,Mannheim,Baden-Württemberg,GER,Germany West Germany,175.0,59.0,,68.775
125,Sylvia Hanika,1959-11-30,Ottendichl,Bayern,GER,West Germany,173.0,64.0,,67.989
126,Anke Huber,1974-02-04,Bruchsal,Baden-Württemberg,GER,Germany,173.0,58.0,,67.989
127,Claudia Kohde-Kilsch,1963-12-11,Saarbrücken,Saarland,GER,West Germany,184.0,68.0,,72.312
128,Dora Köring,1880-07-11,Chemnitz,Sachsen,GER,Germany,,,1945-02-13,nan
129,Olga Nemes,1968-06-09,Târgu Mureș,Mureș,ROU,Germany West Germany,163.0,53.0,,64.059
130,Katja Nolten,1970-02-16,Heinsberg,Nordrhein-Westfalen,GER,West Germany,175.0,66.0,,68.775
131,Barbara Rittner,1973-04-25,Krefeld,Nordrhein-Westfalen,GER,Germany,173.0,65.0,,67.989
132,Elke Schall-Wosik,1973-07-19,Speyer,Rheinland-Pfalz,GER,Germany,180.0,68.0,,70.74000000000001
133,Katrin Schmidt,1967-09-28,Langenhagen,Niedersachsen,GER,Germany,180.0,80.0,,70.74000000000001
134,Jie Schöpp,1968-01-25,Baoding,Hebei,CHN,Germany,174.0,63.0,,68.382
135,Karen Stechmann,1971-09-15,Stade,Niedersachsen,GER,Germany,169.0,59.0,,66.417
136,Nicole Struse,1971-05-31,Haan,Nordrhein-Westfalen,GER,Germany,170.0,62.0,,66.81
137,Kerstin Ubben,1968-09-04,Hamburg,Hamburg,GER,Germany,165.0,59.0,,64.845
138,Boris Becker,1967-11-22,Leimen,Baden-Württemberg,GER,Germany,192.0,85.0,,75.456
139,Georg Böhm,1962-04-17,Sălacea,Bihor,ROU,West Germany,174.0,73.0,,68.382
140,Steffen Fetzner,1968-08-17,Karlsruhe,Baden-Württemberg,GER,Germany West Germany,170.0,60.0,,66.81
141,Peter Franz,1971-04-25,Stolzenau,Niedersachsen,GER,Germany,186.0,74.0,,73.098
142,Stefan Frey,1959-05-16,Worms,Rheinland-Pfalz,GER,Germany,178.0,82.0,,69.95400000000001
143,Otto Froitzheim,1884-04-24,Strasbourg,Bas-Rhin,FRA,Germany,,,1962-10-27,nan
144,Marc-Kevin Goellner,1970-09-22,Rio de Janeiro,Rio de Janeiro,BRA,Germany,196.0,85.0,,77.028
145,Hugo Hardy,1877-08-11,Harvestehude,Hamburg,GER,Germany,,,1936-10-08,nan
146,Michael Helber,1970-10-04,Bochum,Nordrhein-Westfalen,GER,Germany,185.0,72.0,,72.705
147,Luis Maria Heyden,1893-11-27,Eimsbüttel,Hamburg,GER,Germany,,,1951-12-09,nan
148,Eric Jelen,1965-03-11,Trier,Rheinland-Pfalz,GER,West Germany,184.0,77.0,,72.312
149,Michael Keck,1969-02-08,Fürth,Bayern,GER,Germany,186.0,78.0,,73.098
150,Oskar Kreuzer,1887-06-14,Frankfurt am Main,Hessen,GER,Germany,,,1968-05-01,nan
151,Stephan Kuhl,1968-03-27,Köln (Cologne),Nordrhein-Westfalen,GER,Germany,180.0,79.0,,70.74000000000001
152,Paul Lindpaintner,1883-05-22,München (Munich),Bayern,GER,Germany,,,1969-04-23,nan
153,Oliver Pongratz,1973-04-14,Mindelheim,Bayern,GER,Germany,182.0,71.0,,71.526
154,David Prinosil,1973-03-09,Olomouc,Olomoucký kraj,CZE,Germany,184.0,79.0,,72.312
155,Friedrich-Wilhelm Rahe,1888-04-16,Rostock,Mecklenburg-Vorpommern,GER,Germany,,,1949-02-18,nan
156,Jürgen Rebel,1963-07-17,Darmstadt,Hessen,GER,West Germany,174.0,78.0,,68.382
157,Jörg Roßkopf,1969-05-22,Dieburg,Hessen,GER,Germany West Germany,182.0,72.0,,71.526
158,Heinrich Schomburgk,1885-06-23,,,,Germany,,,1965-03-26,nan
159,Robert Spies,1891-02-17,Moskva (Moscow),Moskva,RUS,Germany,,,1982-10-22,nan
160,Carl-Uwe Steeb,1967-09-01,Aalen,Baden-Württemberg,GER,Germany West Germany,180.0,74.0,,70.74000000000001
161,Michael Stich,1968-10-18,Pinneberg,Schleswig-Holstein,GER,Germany,192.0,79.0,,75.456
162,Fritz Traun,1876-03-29,Wandsbek,Hamburg,GER,Germany,,,1908-07-11,nan
163,Fritz von Bissing,1886-09-09,Metz,Moselle,FRA,Germany,,,1954-03-18,nan
164,Otto von Müller,1875-10-17,Jülich,Nordrhein-Westfalen,GER,Germany,,,1976-04-02,nan
165,Helen Amankwah,1964-04-13,,,,Ghana,,,,nan
166,Patricia Offel,1971-12-19,,,,Ghana,,,,nan
167,Patience Opokua,1969-06-17,,,,Ghana,,,,nan
168,Winifred Addy,1973-03-17,,,,Ghana,,,,nan
169,Christina Papadaki,1973-02-24,Athina (Athens),Attiki,GRE,Greece,173.0,55.0,,67.989
170,Olga Tsarmpopoulou,1968-06-19,,,,Greece,170.0,58.0,,66.81
171,Lena Valaoritou,1897-03-01,Athina (Athens),Attiki,GRE,Greece,,,1967-01-01,nan
172,Christina Zachariadou,1974-08-28,Athina (Athens),Attiki,GRE,Greece,163.0,57.0,,64.059
173,Aristidis Akratopoulos,,,,,Greece,,,,nan
174,Kostas Akratopoulos,,,,,Greece,,,,nan
175,Tasos Bavelas,1968-02-27,Athina (Athens),Attiki,GRE,Greece,180.0,76.0,,70.74000000000001
176,Konstantinos Efremoglou,1962-12-04,Athina (Athens),Attiki,GRE,Greece,187.0,74.0,,73.491
177,Georgios Kalovelonis,1959-08-23,Athina (Athens),Attiki,GRE,Greece,192.0,82.0,,75.456
178,Demetrius Casdagli,1872-10-10,Salford,England,GBR,Greece,,,1931-07-06,nan
179,Kallinikos Kreangka,1972-03-08,Bistrița,Bistrița-Năsăud,ROU,Greece,169.0,62.0,,66.417
180,Pantelis Papadopoulos,1902-01-01,,,,Greece,,,1987-01-01,nan
181,Konstantinos Paspatis,1878-06-05,,,,Greece,,,1903-07-01,nan
182,Dimitrios Petrokokkinos,1878-04-17,Ilford,England,GBR,Greece,,,1942-05-10,nan
183,D. Frangopoulos,,,,,Greece,,,,nan
184,Evangelos Rallis,,,,,Greece,,,,nan
185,Daniel Tsiokas,1971-06-19,Cluj-Napoca,Cluj,ROU,Greece,180.0,68.0,,70.74000000000001
186,Avgoustos Zerlentis,1886-11-05,Al-Iskanderiya (Alexandria),Al-Iskanderiya,EGY,Greece,,,1954-01-01,nan
187,Kenneth Erichsen,1972-12-28,,,,Guatemala,179.0,72.0,,70.34700000000001
188,Ronald Agénor,1964-11-13,Rabat,Rabat-Salé-Kénitra,MAR,Haiti,180.0,79.0,,70.74000000000001
189,Emmy Chan,1966-05-15,,,,"Hong Kong, China",,,,nan
190,Chan Suk Yuen,1969-06-25,,,,"Hong Kong, China",,,,nan
191,Chan Tan Lui,1969-01-12,,,,"Hong Kong, China",,,,nan
192,Chai Po Wa,1966-04-12,,,,"Hong Kong, China",,,,nan
193,Hui So Hung,1958-12-02,,,,"Hong Kong, China",160.0,57.0,,62.88
194,Mok Ka Sha,1962-10-23,,,,"Hong Kong, China",163.0,55.0,,64.059
195,Wong Chun Fan,1969-09-23,,,,"Hong Kong, China",,,,nan
196,Chan Kin Ngai,1968-11-18,,,,"Hong Kong, China",170.0,58.0,,66.81
197,Chan Siu Kwong,1966-05-30,,,,"Hong Kong, China",185.0,79.0,,72.705
198,Chan Chi Ming,1964-05-28,,,,"Hong Kong, China",163.0,59.0,,64.059
199,Chan Kong Wah,1961-08-31,,,,"Hong Kong, China",,,,nan
200,Tim He,1962-04-14,,,,"Hong Kong, China",176.0,62.0,,69.168
201,Liu Fuk Man,1952-10-11,,,,"Hong Kong, China",176.0,75.0,,69.168
202,Lo Chuen Tsung,1963-10-08,,,,"Hong Kong, China",170.0,60.0,,66.81
203,Ng Pak Kum,1968-10-08,,,,"Hong Kong, China",176.0,63.0,,69.168
204,Vong Lu Veng,1950-03-12,,,,"Hong Kong, China",170.0,60.0,,66.81
205,Wong Wai Lap,1969-07-16,,,,"Hong Kong, China",179.0,67.0,,70.34700000000001
206,Csilla Bátorfi,1969-03-03,Szombathely,Vas,HUN,Hungary,165.0,69.0,,64.845
207,Virág Csurgó,1972-11-10,Siófok,Somogy,HUN,Hungary,172.0,63.0,,67.596
208,Andrea Dakó,1972-08-12,Budapest,Budapest,HUN,Hungary,165.0,60.0,,64.845
209,Csilla Fórián,1969-01-02,Debrecen,Hajdú-Bihar,HUN,Hungary,166.0,53.0,,65.238
210,Andrea Harsági,1971-03-22,Nyíregyháza,Szabolcs-Szatmár-Bereg,HUN,Hungary,171.0,56.0,,67.203
211,Ilona Váradi,1891-08-04,Budapest,Budapest,HUN,Hungary,,,1945-02-19,nan
212,Andrea Temesvári,1966-04-26,Budapest,Budapest,HUN,Hungary,180.0,64.0,,70.74000000000001
213,Krisztina Tóth,1974-05-29,Miskolc,Borsod-Abaúj-Zemplén,HUN,Hungary,164.0,62.0,,64.452
214,Edit Urbán,1961-03-27,Budapest,Budapest,HUN,Hungary,163.0,65.0,,64.059
215,Zoltán Bátorfi,1975-07-20,Szombathely,Vas,HUN,Hungary,188.0,79.0,,73.884
216,Lajos Göncz,1887-06-16,Kőszeg,Vas,HUN,Hungary,,,1974-10-14,nan
217,Zsolt Harczi,1967-02-17,Cegléd,Pest,HUN,Hungary,180.0,72.0,,70.74000000000001
218,Kálmán Kirchmayer,1897-11-15,Rzeszów,Podkarpackie,POL,Hungary,,,1990-11-06,nan
219,Tibor Klampár,1953-04-30,Budapest,Budapest,HUN,Hungary,180.0,75.0,,70.74000000000001
220,Zsolt Kriston,1961-02-12,Miskolc,Borsod-Abaúj-Zemplén,HUN,Hungary,185.0,76.0,,72.705
221,Gábor Köves,1970-01-07,Budapest,Budapest,HUN,Hungary,187.0,87.0,,73.491
222,Dezső Lauber,1879-05-23,Pécs,Baranya,HUN,Hungary,,,1966-09-05,nan
223,László Markovits,1970-04-04,Ciudad de México (Mexico City),Ciudad de México,MEX,Hungary,180.0,80.0,,70.74000000000001
224,Károly Németh,1970-08-31,Budapest,Budapest,HUN,Hungary,167.0,67.0,,65.631
225,Sándor Noszály,1972-03-16,Budapest,Budapest,HUN,Hungary,192.0,90.0,,75.456
226,Momcsilló Tapavicza,1872-10-14,Nadalj,Južna Bačka,SRB,Hungary,,,1949-01-10,nan
227,Ede Tóth,1884-03-11,Oradea,Bihor,ROU,Hungary,,,1943-03-01,nan
228,Leó Baráth,1891-06-09,Budapest,Budapest,HUN,Hungary,,,,nan
229,Aurél Kelemen,1888-04-20,Budapest,Budapest,HUN,Hungary,,,1968-11-10,nan
230,Béla Kehrling,1891-01-25,Spišská Sobota,Prešov,SVK,Hungary,,,1937-04-26,nan
231,Jenő Zsigmondy,1888-07-04,Budapest,Budapest,HUN,Hungary,,,1930-07-30,nan
232,Aida Steshenko,1968-08-11,,,,Turkmenistan,168.0,58.0,,66.024
233,Yayuk Basuki,1970-11-30,Yogyakarta,Daerah Istimewa Yogyakarta,INA,Indonesia,165.0,55.0,,64.845
234,Rossy Pratiwi Dipoyanti,1972-06-28,Bandung,Jawa Barat,INA,Indonesia,,,,nan
235, Finarsih,1972-02-08,Sleman,Jawa Tengah,INA,Indonesia,,,,nan
236,Ling Ling Agustin,1969-08-23,Kediri,Jawa Timur,INA,Indonesia,,,,nan
237,Anton Liederer,1956-05-20,,,,Austria,174.0,67.0,,68.382
238,Riseu Rosalina,1972-09-19,,,,Indonesia,,,,nan
239,Zelin Resiana,1972-07-09,Magelang,Jawa Tengah,INA,Indonesia,169.0,58.0,,66.417
240,Yuliani Santoso,1971-10-29,Semarang,Jawa Tengah,INA,Indonesia,,,,nan
241,Sarwendah Kusumawardhani,1967-08-22,Malang,Jawa Timur,INA,Indonesia,,,,nan
242,Erma Sulistianingsih,1965-11-05,,,,Indonesia,,,,nan
243,Susy Susanti,1971-02-11,Tasikmalaya,Jawa Barat,INA,Indonesia,161.0,,,63.273
244,Lili Tampi,1970-05-19,Tasikmalaya,Jawa Barat,INA,Indonesia,161.0,,,63.273
245,Romana Tedjakusuma,1976-07-24,Surabaya,Jawa Timur,INA,Indonesia,,,,nan
246,Rosiana Tendean,1964-08-25,Makassar,Sulawesi Selatan,INA,Indonesia,,,,nan
247,Minarti Timur,1968-03-24,Surabaya,Jawa Timur,INA,Indonesia,163.0,55.0,,64.059
248, Mia Audina,1979-08-22,Jakarta,Daerah Khusus Ibukota Jakarta,INA,Indonesia Netherlands,163.0,67.0,,64.059
249,Suzanna Wibowo,1963-11-25,Jakarta,Daerah Khusus Ibukota Jakarta,INA,Indonesia,,,,nan
250,Antonius Ariantho,1971-10-03,Pekalongan,Jawa Tengah,INA,Indonesia,170.0,66.0,,66.81
251,Rudy Gunawan,1966-12-31,Solo,Jawa Tengah,INA,Indonesia,185.0,83.0,,72.705
252,Eddy Hartono,1964-07-19,Kudus,Jawa Tengah,INA,Indonesia,173.0,73.0,,67.989
253,Hariyanto Arbi,1972-01-21,Kudus,Jawa Tengah,INA,Indonesia,178.0,70.0,,69.95400000000001
254,Tri Kusharyanto,1974-01-18,Yogyakarta,Daerah Istimewa Yogyakarta,INA,Indonesia,167.0,60.0,,65.631
255,Alan Budikusuma,1968-03-29,Surabaya,Jawa Timur,INA,Indonesia,178.0,71.0,,69.95400000000001
256,Denny Kantono,1970-01-12,Samarinda,Kalimantan Timur,INA,Indonesia,182.0,,,71.526
257,Flandy Limpele,1974-02-09,Manado,Sulawesi Utara,INA,Indonesia,181.0,73.0,,71.13300000000001
258,Rexy Mainaky,1968-03-09,Ternate,Maluku Utara,INA,Indonesia,170.0,65.0,,66.81
259,Tonny Maringgi,1959-06-10,Kendari,Sulawesi Tenggara,INA,Indonesia,167.0,65.0,2019-09-15,65.631
260,Ricky Subagja,1971-01-27,Bandung,Jawa Barat,INA,Indonesia,172.0,62.0,,67.596
261, Suharyadi,1965-02-14,Blora,Jawa Tengah,INA,Indonesia,170.0,60.0,,66.81
262,Bambang Suprianto,1969-08-20,Solo,Jawa Tengah,INA,Indonesia,173.0,69.0,,67.989
263,Joko Suprianto,1966-01-21,Solo,Jawa Tengah,INA,Indonesia,173.0,68.0,,67.989
264,Hermawan Susanto,1967-09-24,Kudus,Jawa Tengah,INA,Indonesia,170.0,62.0,,66.81
265,Anton Suseno,1971-12-15,Indramayu,Jawa Barat,INA,Indonesia,178.0,70.0,,69.95400000000001
266,Donald Wailan Walalangi,1960-04-14,Jakarta,Daerah Khusus Ibukota Jakarta,INA,Indonesia,174.0,67.0,,68.382
267,Benny Wijaya,1973-10-28,Kebumen,Jawa Tengah,INA,Indonesia,180.0,70.0,,70.74000000000001
268,Ardy Wiranata,1970-02-10,Jakarta,Daerah Khusus Ibukota Jakarta,INA,Indonesia,171.0,67.0,,67.203
269,Bonit Wiryawan,1968-02-10,Surabaya,Jawa Timur,INA,Indonesia,172.0,61.0,,67.596
270,Madhumita Bisht,1964-10-05,,,,India,,,,nan
271,Nora Polley,1894-07-29,Budaun,Uttar Pradesh,IND,India,,,1988-01-01,nan
272,Ambika Radhika,1973-05-17,,,,India,,,,nan
273,Niyati Roy-Shah,1965-09-30,,,,India,,,,nan
274,Zeeshan Ali,1970-01-01,Kolkata (Calcutta),West Bengal,IND,India,180.0,64.0,,70.74000000000001
275,Anand Amritraj,1952-03-20,Chennai (Madras),Tamil Nadu,IND,India,185.0,77.0,,72.705
276,Vijay Amritraj,1953-12-14,Chennai (Madras),Tamil Nadu,IND,India,193.0,75.0,,75.849
277,Chetan Baboor,1974-04-22,,,,India,188.0,70.0,,73.884
278,Deepankar Bhattacharya,1972-02-01,,,,India,178.0,68.0,,69.95400000000001
279,Mahesh Bhupathi,1974-06-07,Chennai (Madras),Tamil Nadu,IND,India,185.0,88.0,,72.705
280,Ali Athar Fyzee,1883-08-28,Mumbai,Maharashtra,IND,India,,,1963-11-03,nan
281,Sujay Ghorpade,1965-01-10,,,,India,,,,nan
